areaFIPS,areaname,areaname2,Category,Subcategory,allchildren3to5,atleast1immigparent,allnativebornparents,lowincome,notlowincome,notenrolled,enrolled
10100,Aberdeen, SD,Race and ethnicity,4. Asian,0,0,0,0,0,0,0
10100,Aberdeen, SD,Race and ethnicity,3. African American,0,0,0,0,0,0,0
10100,Aberdeen, SD,Race and ethnicity,2. Hispanic,0.037259407,0,0,0,0.040300347,0.030823592,0
10100,Aberdeen, SD,Race and ethnicity,5. Native American,0.117965102,0,0.118482634,0.230442747,0.045925338,0.072463535,0.159964308
10100,Aberdeen, SD,Race and ethnicity,1. White,0.82415545,0,0.842380285,0.725078583,0.889019132,0.871452451,0.780498981
10100,Aberdeen, SD,Race and ethnicity,6. Other or multiracial,0.020620064,0,0.039137081,0.044478655,0.02475518,0.025260448,0.059536727
10140,Aberdeen, WA,Race and ethnicity,4. Asian,0,0,0,0,0,0,0
10140,Aberdeen, WA,Race and ethnicity,3. African American,0,0,0,0,0,0,0
10140,Aberdeen, WA,Race and ethnicity,2. Hispanic,0.224246249,0,0.121261545,0.313311994,0.117119387,0,0.22125414
10140,Aberdeen, WA,Race and ethnicity,5. Native American,0.039332911,0,0.039621137,0.04565097,0.032796998,0,0.049641069
10140,Aberdeen, WA,Race and ethnicity,1. White,0.645891607,0,0.746746421,0.519125044,0.796778321,0,0.605945468
10140,Aberdeen, WA,Race and ethnicity,6. Other or multiracial,0.090529211,0,0.092370883,0.12191201,0.053305268,0,0.123159304
10180,Abilene, TX,Race and ethnicity,4. Asian,0.013956776,0,0,0,0,0,0
10180,Abilene, TX,Race and ethnicity,3. African American,0.080857933,0,0.086940266,0.125038177,0.032450829,0.08400023,0.078300454
10180,Abilene, TX,Race and ethnicity,2. Hispanic,0.399646074,0,0.360488355,0.540360928,0.250143558,0.383229315,0.413007557
10180,Abilene, TX,Race and ethnicity,5. Native American,0.007963837,0,0.009480698,0,0,0,0
10180,Abilene, TX,Race and ethnicity,1. White,0.453323156,0,0.497683853,0.258517861,0.660273015,0.473229766,0.437121332
10180,Abilene, TX,Race and ethnicity,6. Other or multiracial,0.044252209,0,0.045406803,0.076083023,0.057132605,0.059540674,0.071570653
10220,Ada, OK,Race and ethnicity,4. Asian,0,0,0,0,0,0,0
10220,Ada, OK,Race and ethnicity,3. African American,0.035660442,0,0.038592327,0.051551018,0,0,0.042962797
10220,Ada, OK,Race and ethnicity,2. Hispanic,0.135460436,0,0.094782658,0.190784231,0.051474392,0.122407988,0.142745093
10220,Ada, OK,Race and ethnicity,5. Native American,0.144922003,0,0.152268991,0.137132674,0.157417089,0.153622791,0.140066057
10220,Ada, OK,Race and ethnicity,1. White,0.540303707,0,0.571945012,0.45683068,0.658257067,0.597565532,0.508345485
10220,Ada, OK,Race and ethnicity,6. Other or multiracial,0.143653423,0,0.142411023,0.1637014,0.132851467,0.126403674,0.165880576
10300,Adrian, MI,Race and ethnicity,4. Asian,0,0,0,0,0,0,0
10300,Adrian, MI,Race and ethnicity,3. African American,0,0,0,0,0,0,0
10300,Adrian, MI,Race and ethnicity,2. Hispanic,0.085416257,0,0.068686865,0.09251751,0,0.07704591,0.093555897
10300,Adrian, MI,Race and ethnicity,5. Native American,0,0,0,0,0,0,0
10300,Adrian, MI,Race and ethnicity,1. White,0.83585906,0,0.851919174,0.788794696,0.909224033,0.852694631,0.819487572
10300,Adrian, MI,Race and ethnicity,6. Other or multiracial,0.078724686,0,0.079393942,0.118687764,0.090775967,0.070259433,0.086956557
10420,Akron, OH,Race and ethnicity,4. Asian,0.027588487,0,0,0.022565491,0.03305852,0.025693616,0.028846106
10420,Akron, OH,Race and ethnicity,3. African American,0.165525377,0,0.174941286,0.277485043,0.065489292,0.149685115,0.176038489
10420,Akron, OH,Race and ethnicity,2. Hispanic,0.02767073,0,0.022932561,0.04289297,0.012782247,0.039098982,0.020085845
10420,Akron, OH,Race and ethnicity,5. Native American,0,0,0,0,0,0,0
10420,Akron, OH,Race and ethnicity,1. White,0.701593459,0,0.732172847,0.5611974,0.832491159,0.716667473,0.691588938
10420,Akron, OH,Race and ethnicity,6. Other or multiracial,0.077621944,0,0.069953308,0.095859073,0.056178782,0.068854816,0.083440647
10460,Alamogordo, NM,Race and ethnicity,4. Asian,0,0,0,0,0,0,0
10460,Alamogordo, NM,Race and ethnicity,3. African American,0.015740756,0,0,0,0,0,0
10460,Alamogordo, NM,Race and ethnicity,2. Hispanic,0.562894285,0,0.49243778,0.633375883,0.463549912,0.588919759,0.544574201
10460,Alamogordo, NM,Race and ethnicity,5. Native American,0.047710095,0,0.057516001,0.070191167,0,0.03310379,0.057991877
10460,Alamogordo, NM,Race and ethnicity,1. White,0.369366407,0,0.431199908,0.282864392,0.501575649,0.347282082,0.384912223
10460,Alamogordo, NM,Race and ethnicity,6. Other or multiracial,0.004288435,0,0.018846333,0.01356858,0.034874439,0.030694366,0.012521684
10500,Albany, GA,Race and ethnicity,4. Asian,0.0150722,0,0,0,0.038407534,0,0.02092837
10500,Albany, GA,Race and ethnicity,3. African American,0.539314032,0,0.568915308,0.668529868,0.26921913,0.474718869,0.564411938
10500,Albany, GA,Race and ethnicity,2. Hispanic,0.058229402,0,0.022090076,0.07370422,0.033090107,0.054817505,0.059555065
10500,Albany, GA,Race and ethnicity,5. Native American,0,0,0,0,0,0,0
10500,Albany, GA,Race and ethnicity,1. White,0.357939899,0,0.372829765,0.218981579,0.638816357,0.43936795,0.326301783
10500,Albany, GA,Race and ethnicity,6. Other or multiracial,0.029444447,0,0.036164844,0.038784344,0.020466864,0.031095684,0.02880287
10540,Albany, OR,Race and ethnicity,4. Asian,0.032859929,0,0,0,0.037467327,0,0.028301887
10540,Albany, OR,Race and ethnicity,3. African American,0.00737956,0,0.003307425,0.003317666,0,0,0
10540,Albany, OR,Race and ethnicity,2. Hispanic,0.139654696,0,0.078055233,0.233895496,0.045599766,0.114549398,0.166094914
10540,Albany, OR,Race and ethnicity,5. Native American,0,0,0,0,0,0,0
10540,Albany, OR,Race and ethnicity,1. White,0.746310234,0,0.827352405,0.607409477,0.883241355,0.722584128,0.771297872
10540,Albany, OR,Race and ethnicity,6. Other or multiracial,0.073795594,0,0.091284953,0.155377343,0.033691561,0.162866466,0.034305321
10580,Albany-Schenectady-Troy, NY,Race and ethnicity,4. Asian,0.049377933,0.307544023,0,0.041365713,0.054172486,0.049128611,0.049509324
10580,Albany-Schenectady-Troy, NY,Race and ethnicity,3. African American,0.080506727,0.127827004,0.068846293,0.181151822,0.030706242,0.091567382,0.074677728
10580,Albany-Schenectady-Troy, NY,Race and ethnicity,2. Hispanic,0.075902447,0.102505259,0.06987723,0.122591309,0.051648099,0.085990123,0.070586212
10580,Albany-Schenectady-Troy, NY,Race and ethnicity,5. Native American,0.001677247,0,0.002003705,0,0,0,0
10580,Albany-Schenectady-Troy, NY,Race and ethnicity,1. White,0.714919031,0.348461837,0.781429946,0.533692598,0.80726403,0.707207024,0.718983352
10580,Albany-Schenectady-Troy, NY,Race and ethnicity,6. Other or multiracial,0.077616587,0.11366187,0.077842824,0.121198587,0.056209117,0.066106886,0.086243376
10660,Albert Lea, MN,Race and ethnicity,4. Asian,0.042898193,0,0,0,0,0,0
10660,Albert Lea, MN,Race and ethnicity,3. African American,0.018472906,0,0,0,0,0,0
10660,Albert Lea, MN,Race and ethnicity,2. Hispanic,0.194786534,0,0.093436874,0.37400794,0.057479471,0.208585858,0.18533887
10660,Albert Lea, MN,Race and ethnicity,5. Native American,0,0,0,0,0,0,0
10660,Albert Lea, MN,Race and ethnicity,1. White,0.715106726,0,0.868737459,0.502976179,0.87433058,0.658585846,0.753803611
10660,Albert Lea, MN,Race and ethnicity,6. Other or multiracial,0.028735638,0,0.037825644,0.123015881,0.068189979,0.132828295,0.060857534
10700,Albertville, AL,Race and ethnicity,4. Asian,0,0,0,0,0,0,0
10700,Albertville, AL,Race and ethnicity,3. African American,0.025098564,0,0.029487535,0.029964887,0,0.037991732,0
10700,Albertville, AL,Race and ethnicity,2. Hispanic,0.226713166,0,0.073366612,0.345828623,0,0.260463357,0.192542493
