areaFIPS,areaname,Category,Subcategory,allchildren3to5,atleast1immigparent,allnativebornparents,lowincome,notlowincome,notenrolled,enrolled
1,Alabama,Parental nativity,Only immigrant parents,0.064416215,0.74712348,0,0.099206023,0.024628758,0.080919035,0.050689522
1,Alabama,Parental nativity,One immigrant and one native-born parent,0.021802749,0.25287649,0,0.015941609,0.02914403,0.020657595,0.022755265
1,Alabama,Parental nativity,Only native-born parents,0.913781047,0,1,0.88485235,0.946227193,0.898423374,0.926555216
1,Alabama,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
2,Alaska,Parental nativity,Only immigrant parents,0.054488081,0.502883494,0,0.116005875,0.020309968,0.071808338,0.038755067
2,Alaska,Parental nativity,One immigrant and one native-born parent,0.053863216,0.497116506,0,0.025049668,0.07197123,0.066885464,0.042034343
2,Alaska,Parental nativity,Only native-born parents,0.89164871,0,1,0.858944476,0.907718778,0.86130619,0.919210613
2,Alaska,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
4,Arizona,Parental nativity,Only immigrant parents,0.194895536,0.704203486,0,0.282349855,0.096163645,0.206555858,0.183500513
4,Arizona,Parental nativity,One immigrant and one native-born parent,0.081864715,0.295796514,0,0.072034732,0.095021285,0.082817793,0.080933332
4,Arizona,Parental nativity,Only native-born parents,0.723239779,0,1,0.645615399,0.808815062,0.710626364,0.735566139
4,Arizona,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
5,Arkansas,Parental nativity,Only immigrant parents,0.083806202,0.717427731,0,0.113393143,0.046068661,0.09817104,0.073927835
5,Arkansas,Parental nativity,One immigrant and one native-born parent,0.033008635,0.282572269,0,0.031513274,0.036323365,0.03883414,0.02900257
5,Arkansas,Parental nativity,Only native-born parents,0.883185148,0,1,0.855093598,0.917607963,0.86299485,0.897069573
5,Arkansas,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
6,California,Parental nativity,Only immigrant parents,0.364957005,0.757279694,0,0.483512819,0.258455783,0.376939952,0.357640773
6,California,Parental nativity,One immigrant and one native-born parent,0.116974555,0.242720276,0,0.087461144,0.145141229,0.11322052,0.119266592
6,California,Parental nativity,Only native-born parents,0.518068433,0,1,0.429026037,0.596403003,0.509839535,0.523092628
6,California,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
8,Colorado,Parental nativity,Only immigrant parents,0.155067444,0.702594042,0,0.275890559,0.072943673,0.174304813,0.143640712
8,Colorado,Parental nativity,One immigrant and one native-born parent,0.065639585,0.297405928,0,0.05955347,0.070325702,0.064783879,0.066147856
8,Colorado,Parental nativity,Only native-born parents,0.779292941,0,1,0.664555967,0.85673064,0.760911286,0.790211439
8,Colorado,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
9,Connecticut,Parental nativity,Only immigrant parents,0.181669027,0.700559199,0,0.222100437,0.160195857,0.213844493,0.170350045
9,Connecticut,Parental nativity,One immigrant and one native-born parent,0.077650994,0.299440801,0,0.0457558,0.093756214,0.074412532,0.078790255
9,Connecticut,Parental nativity,Only native-born parents,0.740679979,0,1,0.73214376,0.746047914,0.711742997,0.750859678
