areaFIPS,areaname,Category,Subcategory,allchildren3to5,atleast1immigparent,allnativebornparents,lowincome,notlowincome,notenrolled,enrolled
1,Alabama,Number of parents present,One parent,0.372179419,0.159997448,0.389991611,0.548366547,0.152564034,0.381459296,0.364447236
1,Alabama,Number of parents present,Two parents,0.627820551,0.840002537,0.610008359,0.451633483,0.847435951,0.618540704,0.635552764
2,Alaska,Number of parents present,One parent,0.232976019,0.194059983,0.236062929,0.370079398,0.132427678,0.233139649,0.232828259
2,Alaska,Number of parents present,Two parents,0.767023981,0.805940032,0.763937056,0.629920602,0.867572308,0.766860366,0.767171741
4,Arizona,Number of parents present,One parent,0.297929406,0.194770038,0.33123523,0.398749143,0.163756341,0.31218794,0.283934504
4,Arizona,Number of parents present,Two parents,0.702070594,0.805229962,0.66876477,0.601250887,0.836243629,0.68781209,0.716065526
5,Arkansas,Number of parents present,One parent,0.326614678,0.134440318,0.350039482,0.428584218,0.16821076,0.314107329,0.335176528
5,Arkansas,Number of parents present,Two parents,0.673385322,0.865559697,0.649960518,0.571415782,0.831789255,0.685892701,0.664823472
6,California,Number of parents present,One parent,0.253548563,0.159961388,0.331776798,0.344481051,0.16067037,0.275367945,0.240160465
6,California,Number of parents present,Two parents,0.746451437,0.840038598,0.668223202,0.655518949,0.8393296,0.724632084,0.759839535
8,Colorado,Number of parents present,One parent,0.229633793,0.151112691,0.245839149,0.354014874,0.132995769,0.251122892,0.21686022
8,Colorado,Number of parents present,Two parents,0.770366192,0.848887324,0.754160821,0.645985126,0.867004216,0.748877108,0.783139765
9,Connecticut,Number of parents present,One parent,0.284848988,0.163923949,0.32454747,0.560380518,0.14257966,0.311598986,0.275420398
9,Connecticut,Number of parents present,Two parents,0.715151012,0.836076021,0.67545253,0.439619482,0.857420325,0.688401043,0.724579573
10,Delaware,Number of parents present,One parent,0.284788877,0.156658694,0.315930694,0.462014377,0.147421747,0.288699627,0.282096744
10,Delaware,Number of parents present,Two parents,0.715211093,0.843341291,0.684069335,0.537985623,0.852578223,0.711300373,0.717903256
11,District of Columbia,Number of parents present,One parent,0.489251584,0.195235714,0.590906262,0.706987143,0.295294791,0.542796373,0.4785631
11,District of Columbia,Number of parents present,Two parents,0.510748386,0.804764271,0.409093738,0.293012857,0.704705179,0.457203627,0.52143693
12,Florida,Number of parents present,One parent,0.32983771,0.203835666,0.384416014,0.447687089,0.18719089,0.332186133,0.328472674
12,Florida,Number of parents present,Two parents,0.670162261,0.796164334,0.615583956,0.552312911,0.81280911,0.667813897,0.671527326
13,Georgia,Number of parents present,One parent,0.333791614,0.164425701,0.375033855,0.475209296,0.163598731,0.348689198,0.325140834
13,Georgia,Number of parents present,Two parents,0.666208386,0.835574269,0.624966145,0.524790704,0.836401284,0.651310802,0.674859166
15,Hawaii,Number of parents present,One parent,0.232459813,0.127965495,0.269433975,0.329887211,0.173834711,0.22241126,0.238995448
15,Hawaii,Number of parents present,Two parents,0.767540157,0.87203449,0.730566025,0.670112789,0.826165259,0.777588725,0.761004567
16,Idaho,Number of parents present,One parent,0.198095426,0.077719159,0.212271094,0.259927988,0.110851601,0.198841363,0.197205618
16,Idaho,Number of parents present,Two parents,0.801904559,0.922280848,0.787728906,0.740072012,0.889148414,0.801158667,0.802794397
17,Illinois,Number of parents present,One parent,0.283954024,0.138162658,0.33611691,0.458643913,0.142434672,0.304377437,0.2728585
17,Illinois,Number of parents present,Two parents,0.716045976,0.861837327,0.66388309,0.541356087,0.857565343,0.695622563,0.7271415
18,Indiana,Number of parents present,One parent,0.286554843,0.120831981,0.304041415,0.419470817,0.136925489,0.299458921,0.27515319
18,Indiana,Number of parents present,Two parents,0.713445187,0.879168034,0.695958555,0.580529213,0.863074541,0.700541079,0.72484678
19,Iowa,Number of parents present,One parent,0.231762618,0.171469539,0.239392936,0.407132924,0.0980739,0.25335604,0.218416214
19,Iowa,Number of parents present,Two parents,0.768237352,0.828530431,0.760607064,0.592867076,0.9019261,0.74664396,0.781583786
20,Kansas,Number of parents present,One parent,0.237164617,0.132720754,0.256599426,0.365537643,0.121435441,0.243228436,0.232972533
20,Kansas,Number of parents present,Two parents,0.762835383,0.867279232,0.743400574,0.634462357,0.878564537,0.756771564,0.767027438
21,Kentucky,Number of parents present,One parent,0.307826757,0.159728065,0.320500046,0.461352259,0.126327395,0.323829591,0.294875264
21,Kentucky,Number of parents present,Two parents,0.692173243,0.84027195,0.679499924,0.538647711,0.873672605,0.676170409,0.705124736
22,Louisiana,Number of parents present,One parent,0.412960202,0.19322902,0.426952124,0.617969453,0.182021409,0.421182871,0.408307284
22,Louisiana,Number of parents present,Two parents,0.587039769,0.80677098,0.573047876,0.382030576,0.817978621,0.578817129,0.591692686
23,Maine,Number of parents present,One parent,0.239095747,0.136522353,0.247485176,0.360347003,0.119622655,0.236201257,0.241332024
23,Maine,Number of parents present,Two parents,0.760904253,0.863477647,0.752514839,0.639653027,0.880377352,0.763798773,0.758668005
24,Maryland,Number of parents present,One parent,0.310042232,0.162684456,0.362385988,0.508798778,0.202300504,0.334826887,0.294853419
